WORD	PF	OTHER	RELATION	LLR	PEARSONRESID	LOGODDSRATIO	PMI	DELTAPC2W	DELTAPW2C	KLDC2W	KLDW2C
strained	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
uncovered	1	1	attraction	7.14278992894853	8.28295285234643	4.94398890633772	6.14145613546118	0.00101624015817909	0.492924306023764	0.00483102933971926	2.57585543718176
passed	18	20	attraction	126.23946880726	34.1770097452338	4.85606116696358	6.06345362345991	0.018277720256724	0.466729946235266	0.0857682220236313	2.39019135866318
proved	8	9	attraction	55.8852634958061	22.707823414602	4.83334543270922	6.05399329421084	0.00812261997018292	0.463562525110101	0.0379836942150769	2.3686116732668
changed	6	7	attraction	41.59170296166	19.4697067334519	4.79493053558199	6.02597891804125	0.00609013965382474	0.454498454578208	0.0283094852074209	2.30585100830611
prevailed	3	4	attraction	20.2056148960694	13.2504642512094	4.65833621237087	5.91906371412473	0.00304141917928748	0.421509978001583	0.0138250446488373	2.08125577282188
acted	4	6	attraction	26.2416415967386	14.7637692911024	4.5415657950474	5.81952804057382	0.00405035804221679	0.392945645948278	0.0180357528618303	1.89178470307121
authorized	2	3	attraction	13.1168337643687	10.4395613816122	4.53953431084102	5.81952804057382	0.0020251790211084	0.392931401974858	0.00901495349587415	1.89178470307121
concluded	2	3	attraction	13.1168337643687	10.4395613816122	4.53953431084102	5.81952804057382	0.0020251790211084	0.392931401974858	0.00901495349587415	1.89178470307121
displayed	2	3	attraction	13.1168337643687	10.4395613816122	4.53953431084102	5.81952804057382	0.0020251790211084	0.392931401974858	0.00901495349587415	1.89178470307121
improved	2	3	attraction	13.1168337643687	10.4395613816122	4.53953431084102	5.81952804057382	0.0020251790211084	0.392931401974858	0.00901495349587415	1.89178470307121
indicated	2	3	attraction	13.1168337643687	10.4395613816122	4.53953431084102	5.81952804057382	0.0020251790211084	0.392931401974858	0.00901495349587415	1.89178470307121
enjoyed	5	8	attraction	32.3161654190105	16.1741819760723	4.47804094829851	5.76294451220745	0.0050592969051461	0.377568127390496	0.0222639738831299	1.79178790208671
conferred	3	5	attraction	19.1954896041076	12.3649194433412	4.43518535952152	5.72641863618234	0.0030341178840377	0.367938498234625	0.0132439313661568	1.73002125968694
chosen	8	15	attraction	49.7578548292859	19.4172368894915	4.3224759973331	5.61789417940417	0.00807881219868425	0.340800071120796	0.0344750188290598	1.55856104834961
given	22	44	attraction	134.890873281548	31.4933890549048	4.27227896442694	5.55649363474003	0.0221966549844448	0.32640666893929	0.0936776025209826	1.46902603703413
reached	4	8	attraction	24.4538525184344	13.4288262139433	4.25386911925878	5.55649363474003	0.00403575545171724	0.326278876990485	0.0169796802798991	1.46902603703413
acquired	2	4	attraction	12.2229678643974	9.49561407925496	4.25184493690747	5.55649363474003	0.00201787772585862	0.326264684061585	0.00848693820070091	1.46902603703413
proclaimed	2	4	attraction	12.2229678643974	9.49561407925496	4.25184493690747	5.55649363474003	0.00201787772585862	0.326264684061585	0.00848693820070091	1.46902603703413
sanctioned	2	4	attraction	12.2229678643974	9.49561407925496	4.25184493690747	5.55649363474003	0.00201787772585862	0.326264684061585	0.00848693820070091	1.46902603703413
summoned	2	4	attraction	12.2229678643974	9.49561407925496	4.25184493690747	5.55649363474003	0.00201787772585862	0.326264684061585	0.00848693820070091	1.46902603703413
turned	2	4	attraction	12.2229678643974	9.49561407925496	4.25184493690747	5.55649363474003	0.00201787772585862	0.326264684061585	0.00848693820070091	1.46902603703413
undertaken	2	4	attraction	12.2229678643974	9.49561407925496	4.25184493690747	5.55649363474003	0.00201787772585862	0.326264684061585	0.00848693820070091	1.46902603703413
blinded	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
commenced	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
constructed	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
consumed	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
discharged	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
dispelled	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
emancipated	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
liberated	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
lighted	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
referred	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
refused	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
sacrificed	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
sensed	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
studied	1	2	attraction	6.11049538389983	6.71441310697164	4.25083442440452	5.55649363474003	0.00100893886292931	0.326257588060163	0.00424274439078596	1.46902603703413
produced	3	7	attraction	17.5915617884922	11.0062929499324	4.0986985196701	5.40449054129498	0.00301951529353815	0.292938395841339	0.0122762661156099	1.2683242586393
placed	9	22	attraction	52.1426301655771	18.7383474830615	4.05824818937638	5.35718482651662	0.00905124458536467	0.283303408443404	0.0364424608087659	1.21146595083904
failed	4	10	attraction	23.0069621098811	12.387692018237	4.03071096439446	5.33410121340358	0.00402115286121768	0.278659727077345	0.0160900030236009	1.18462028363824
approved	2	5	attraction	11.4995511964005	8.75942102934587	4.02869408405904	5.33410121340358	0.00201057643060884	0.278645585195189	0.00804212049296729	1.18462028363824
inspired	2	5	attraction	11.4995511964005	8.75942102934587	4.02869408405904	5.33410121340358	0.00201057643060884	0.278645585195189	0.00804212049296729	1.18462028363824
invested	2	5	attraction	11.4995511964005	8.75942102934587	4.02869408405904	5.33410121340358	0.00201057643060884	0.278645585195189	0.00804212049296729	1.18462028363824
opened	2	5	attraction	11.4995511964005	8.75942102934587	4.02869408405904	5.33410121340358	0.00201057643060884	0.278645585195189	0.00804212049296729	1.18462028363824
